service_center,appointment_type,channel,scheduled_date,technician_utilization_pct,outcome_status
"Fremont, CA",12V Battery Service,Service Center,2026-05-02,79.9,Cancelled
"Austin, TX",12V Battery Service,Service Center,2026-05-02,70.4,Completed
"Denver, CO",Tire Rotation,Service Center,2026-05-02,100.0,Completed
"Toronto, ON",Warranty Repair,Mobile Service,2026-05-02,41.8,Completed
"Denver, CO",Tire Rotation,Mobile Service,2026-05-02,65.3,Rescheduled
"Seattle, WA",Tire Rotation,Mobile Service,2026-05-02,55.3,Completed
"Chicago, IL",Alignment,Service Center,2026-05-02,100.0,Cancelled
"Chicago, IL",Warranty Repair,Service Center,2026-05-02,85.6,Cancelled
"Seattle, WA",Collision Repair,Mobile Service,2026-05-02,61.4,Completed
"Fremont, CA",Collision Repair,Service Center,2026-05-02,42.6,Rescheduled
"Austin, TX",12V Battery Service,Service Center,2026-05-02,68.9,Completed
"Chicago, IL",12V Battery Service,Mobile Service,2026-05-02,65.7,Completed
"Austin, TX",Tire Rotation,Service Center,2026-05-02,47.1,Completed
"Seattle, WA",Tire Rotation,Service Center,2026-05-02,53.9,Cancelled
"Denver, CO",Brake Fluid/Caliper Service,Service Center,2026-05-02,82.9,Cancelled
"Fremont, CA",Collision Repair,Mobile Service,2026-05-02,100.0,Cancelled
"Fremont, CA",Collision Repair,Service Center,2026-05-02,48.7,Completed
"Seattle, WA",Collision Repair,Mobile Service,2026-05-02,62.2,Completed
"Seattle, WA",12V Battery Service,Mobile Service,2026-05-02,89.9,Completed
"Toronto, ON",Warranty Repair,Mobile Service,2026-05-02,83.9,Completed
"Toronto, ON",Tire Rotation,Mobile Service,2026-05-02,67.0,Cancelled
"Denver, CO",Warranty Repair,Mobile Service,2026-05-02,62.1,Completed
"Toronto, ON",Tire Rotation,Mobile Service,2026-05-02,80.1,Rescheduled
"Denver, CO",Alignment,Service Center,2026-05-02,53.5,Cancelled
"Denver, CO",Collision Repair,Service Center,2026-05-02,64.6,Completed
"Chicago, IL",Collision Repair,Service Center,2026-05-02,73.7,Completed
"Fremont, CA",Cabin/HEPA Filter Replacement,Service Center,2026-05-02,57.9,Completed
"Chicago, IL",12V Battery Service,Mobile Service,2026-05-02,100.0,Completed
"Toronto, ON",Collision Repair,Mobile Service,2026-05-02,82.8,Completed
"Chicago, IL",Warranty Repair,Mobile Service,2026-05-02,77.5,Completed
"Chicago, IL",Tire Rotation,Service Center,2026-05-02,82.1,Cancelled
"Chicago, IL",Collision Repair,Mobile Service,2026-05-02,71.1,Completed
"Denver, CO",12V Battery Service,Service Center,2026-05-02,97.2,Cancelled
"Austin, TX",Warranty Repair,Service Center,2026-05-02,71.3,Rescheduled
"Toronto, ON",Warranty Repair,Service Center,2026-05-02,97.7,Completed
"Toronto, ON",12V Battery Service,Service Center,2026-05-02,82.0,Completed
"Chicago, IL",Cabin/HEPA Filter Replacement,Service Center,2026-05-02,72.7,Completed
"Seattle, WA",Collision Repair,Service Center,2026-05-02,73.4,Cancelled
"Fremont, CA",12V Battery Service,Service Center,2026-05-02,71.9,Cancelled
"Denver, CO",12V Battery Service,Mobile Service,2026-05-02,70.3,Completed
"Seattle, WA",Alignment,Mobile Service,2026-05-02,87.5,Completed
"Denver, CO",Collision Repair,Service Center,2026-05-02,89.6,Completed
"Austin, TX",Collision Repair,Service Center,2026-05-02,64.6,Rescheduled
"Chicago, IL",Alignment,Service Center,2026-05-02,79.1,Cancelled
"Toronto, ON",Alignment,Service Center,2026-05-02,90.1,Completed
"Austin, TX",Collision Repair,Mobile Service,2026-05-02,48.0,Completed
"Seattle, WA",Collision Repair,Mobile Service,2026-05-03,75.2,Completed
"Toronto, ON",Cabin/HEPA Filter Replacement,Service Center,2026-05-03,87.7,Cancelled
"Seattle, WA",Warranty Repair,Mobile Service,2026-05-03,66.2,Cancelled
"Toronto, ON",Warranty Repair,Service Center,2026-05-03,86.3,Cancelled
"Chicago, IL",12V Battery Service,Service Center,2026-05-03,73.9,Completed
"Seattle, WA",Tire Rotation,Service Center,2026-05-03,79.9,Rescheduled
"Seattle, WA",Collision Repair,Service Center,2026-05-03,79.7,Completed
"Denver, CO",Warranty Repair,Service Center,2026-05-03,93.3,Completed
"Toronto, ON",12V Battery Service,Service Center,2026-05-03,93.0,Cancelled
"Chicago, IL",Brake Fluid/Caliper Service,Mobile Service,2026-05-03,65.6,Completed
"Denver, CO",Collision Repair,Service Center,2026-05-03,51.5,Completed
"Denver, CO",Alignment,Mobile Service,2026-05-03,79.4,Completed
"Toronto, ON",Collision Repair,Service Center,2026-05-03,57.5,Completed
"Seattle, WA",Warranty Repair,Service Center,2026-05-03,60.5,Cancelled
"Seattle, WA",Tire Rotation,Service Center,2026-05-03,50.1,Completed
"Fremont, CA",Tire Rotation,Service Center,2026-05-03,86.3,Cancelled
"Toronto, ON",Warranty Repair,Mobile Service,2026-05-03,78.5,Completed
"Austin, TX",Cabin/HEPA Filter Replacement,Service Center,2026-05-03,62.4,Cancelled
"Toronto, ON",Tire Rotation,Service Center,2026-05-03,72.1,Completed
"Chicago, IL",Brake Fluid/Caliper Service,Mobile Service,2026-05-03,63.0,Rescheduled
"Toronto, ON",Cabin/HEPA Filter Replacement,Mobile Service,2026-05-03,79.5,Completed
"Seattle, WA",Brake Fluid/Caliper Service,Mobile Service,2026-05-03,81.7,Completed
"Denver, CO",Cabin/HEPA Filter Replacement,Service Center,2026-05-03,46.0,Completed
"Austin, TX",Alignment,Mobile Service,2026-05-03,80.2,Completed
"Denver, CO",Cabin/HEPA Filter Replacement,Collision Center,2026-05-03,73.8,Completed
"Toronto, ON",Alignment,Service Center,2026-05-03,89.9,Cancelled
"Seattle, WA",12V Battery Service,Service Center,2026-05-03,44.4,Completed
"Fremont, CA",Brake Fluid/Caliper Service,Service Center,2026-05-03,77.9,Completed
"Chicago, IL",Alignment,Mobile Service,2026-05-03,86.0,Cancelled
"Denver, CO",Alignment,Service Center,2026-05-03,85.1,Completed
"Toronto, ON",Warranty Repair,Service Center,2026-05-03,68.1,Cancelled
"Chicago, IL",Alignment,Service Center,2026-05-03,81.0,Completed
"Denver, CO",Warranty Repair,Service Center,2026-05-03,95.6,Completed
"Chicago, IL",Brake Fluid/Caliper Service,Service Center,2026-05-03,79.6,Completed
"Seattle, WA",Alignment,Mobile Service,2026-05-03,83.5,Completed
"Chicago, IL",12V Battery Service,Service Center,2026-05-03,79.4,Completed
"Seattle, WA",12V Battery Service,Service Center,2026-05-03,37.8,Completed
"Toronto, ON",12V Battery Service,Service Center,2026-05-03,74.1,Rescheduled
"Toronto, ON",Tire Rotation,Mobile Service,2026-05-03,83.3,Completed
"Austin, TX",Tire Rotation,Service Center,2026-05-03,66.4,Completed
"Austin, TX",Cabin/HEPA Filter Replacement,Service Center,2026-05-03,83.5,Cancelled
"Seattle, WA",Collision Repair,Service Center,2026-05-03,55.3,Cancelled
"Seattle, WA",Warranty Repair,Mobile Service,2026-05-03,83.0,Cancelled
"Denver, CO",Cabin/HEPA Filter Replacement,Service Center,2026-05-03,70.4,Completed
"Toronto, ON",12V Battery Service,Service Center,2026-05-03,72.2,Completed
"Fremont, CA",12V Battery Service,Service Center,2026-05-03,77.0,Rescheduled
"Toronto, ON",12V Battery Service,Service Center,2026-05-03,64.1,Completed
"Toronto, ON",Tire Rotation,Service Center,2026-05-03,100.0,Completed
"Chicago, IL",Cabin/HEPA Filter Replacement,Mobile Service,2026-05-03,59.9,Completed
"Denver, CO",Alignment,Service Center,2026-05-03,48.0,Completed
"Chicago, IL",Cabin/HEPA Filter Replacement,Service Center,2026-05-03,74.4,Completed
"Fremont, CA",Cabin/HEPA Filter Replacement,Service Center,2026-05-03,73.5,Completed
"Fremont, CA",Warranty Repair,Service Center,2026-05-03,82.1,Cancelled
"Toronto, ON",12V Battery Service,Mobile Service,2026-05-03,96.5,Cancelled
"Fremont, CA",Brake Fluid/Caliper Service,Service Center,2026-05-04,85.1,Cancelled
"Denver, CO",Warranty Repair,Mobile Service,2026-05-04,62.2,Rescheduled
"Fremont, CA",Alignment,Mobile Service,2026-05-04,62.5,Completed
"Austin, TX",Brake Fluid/Caliper Service,Service Center,2026-05-04,57.3,Completed
"Toronto, ON",Brake Fluid/Caliper Service,Service Center,2026-05-04,97.0,Completed
"Denver, CO",Tire Rotation,Service Center,2026-05-04,88.0,Rescheduled
"Toronto, ON",Alignment,Service Center,2026-05-04,74.5,Cancelled
"Seattle, WA",Cabin/HEPA Filter Replacement,Service Center,2026-05-04,73.9,Cancelled
"Denver, CO",Tire Rotation,Service Center,2026-05-04,74.4,Completed
"Denver, CO",Alignment,Mobile Service,2026-05-04,74.4,Completed
"Austin, TX",12V Battery Service,Service Center,2026-05-04,94.9,Rescheduled
"Seattle, WA",Brake Fluid/Caliper Service,Mobile Service,2026-05-04,71.4,Cancelled
"Denver, CO",12V Battery Service,Mobile Service,2026-05-04,92.2,Cancelled
"Denver, CO",Brake Fluid/Caliper Service,Mobile Service,2026-05-04,77.1,Cancelled
"Toronto, ON",Warranty Repair,Service Center,2026-05-04,49.5,Completed
"Chicago, IL",12V Battery Service,Service Center,2026-05-04,74.3,Completed
"Chicago, IL",Brake Fluid/Caliper Service,Service Center,2026-05-04,92.1,Cancelled
"Denver, CO",Collision Repair,Service Center,2026-05-04,92.9,Completed
"Denver, CO",Tire Rotation,Service Center,2026-05-04,95.2,Cancelled
"Toronto, ON",Cabin/HEPA Filter Replacement,Service Center,2026-05-04,56.3,Completed
"Toronto, ON",Brake Fluid/Caliper Service,Mobile Service,2026-05-04,68.9,Rescheduled
"Denver, CO",Collision Repair,Mobile Service,2026-05-04,81.3,Rescheduled
"Austin, TX",Tire Rotation,Service Center,2026-05-04,88.5,Completed
"Fremont, CA",12V Battery Service,Service Center,2026-05-04,67.1,Completed
"Denver, CO",Alignment,Mobile Service,2026-05-04,88.6,Cancelled
"Fremont, CA",Collision Repair,Mobile Service,2026-05-04,73.0,Completed
"Chicago, IL",Brake Fluid/Caliper Service,Mobile Service,2026-05-04,100.0,Completed
"Denver, CO",Tire Rotation,Service Center,2026-05-04,55.4,Completed
"Toronto, ON",Alignment,Service Center,2026-05-04,95.8,Cancelled
"Seattle, WA",Warranty Repair,Mobile Service,2026-05-04,90.3,Cancelled
"Denver, CO",12V Battery Service,Service Center,2026-05-04,75.6,Cancelled
"Seattle, WA",Tire Rotation,Mobile Service,2026-05-04,83.6,Rescheduled
"Fremont, CA",12V Battery Service,Mobile Service,2026-05-04,74.2,Cancelled
"Austin, TX",Alignment,Mobile Service,2026-05-04,77.5,Rescheduled
"Denver, CO",Warranty Repair,Mobile Service,2026-05-04,59.2,Completed
"Toronto, ON",Tire Rotation,Mobile Service,2026-05-04,76.5,Cancelled
"Toronto, ON",Alignment,Service Center,2026-05-04,96.3,Cancelled
"Toronto, ON",Tire Rotation,Mobile Service,2026-05-04,100.0,Rescheduled
"Denver, CO",Tire Rotation,Mobile Service,2026-05-04,67.5,Completed
"Denver, CO",Tire Rotation,Mobile Service,2026-05-04,92.9,Completed
"Seattle, WA",Tire Rotation,Service Center,2026-05-04,63.7,Completed
"Chicago, IL",Collision Repair,Mobile Service,2026-05-04,88.1,Rescheduled
"Denver, CO",Cabin/HEPA Filter Replacement,Service Center,2026-05-04,63.8,Completed
"Austin, TX",Tire Rotation,Mobile Service,2026-05-04,57.9,Completed
"Chicago, IL",Brake Fluid/Caliper Service,Mobile Service,2026-05-04,92.8,Completed
"Seattle, WA",Cabin/HEPA Filter Replacement,Collision Center,2026-05-04,75.6,Completed
"Fremont, CA",12V Battery Service,Mobile Service,2026-05-04,64.1,Completed
"Chicago, IL",12V Battery Service,Service Center,2026-05-04,82.4,Cancelled
"Austin, TX",12V Battery Service,Service Center,2026-05-04,75.3,Completed
"Denver, CO",Tire Rotation,Service Center,2026-05-04,98.2,Cancelled
"Austin, TX",Cabin/HEPA Filter Replacement,Mobile Service,2026-05-04,30.1,Completed
"Seattle, WA",Brake Fluid/Caliper Service,Service Center,2026-05-04,73.6,Cancelled
"Austin, TX",12V Battery Service,Service Center,2026-05-04,54.3,Rescheduled
"Austin, TX",Brake Fluid/Caliper Service,Service Center,2026-05-05,82.3,Cancelled
"Denver, CO",Collision Repair,Mobile Service,2026-05-05,46.8,Rescheduled
"Toronto, ON",Warranty Repair,Collision Center,2026-05-05,40.8,Cancelled
"Fremont, CA",Cabin/HEPA Filter Replacement,Mobile Service,2026-05-05,97.0,Completed
"Denver, CO",Cabin/HEPA Filter Replacement,Mobile Service,2026-05-05,74.9,Completed
"Chicago, IL",Collision Repair,Mobile Service,2026-05-05,45.0,Cancelled
"Austin, TX",Brake Fluid/Caliper Service,Mobile Service,2026-05-05,62.1,Completed
"Toronto, ON",Warranty Repair,Mobile Service,2026-05-05,53.6,Completed
"Austin, TX",Brake Fluid/Caliper Service,Collision Center,2026-05-05,68.3,Cancelled
"Toronto, ON",Brake Fluid/Caliper Service,Service Center,2026-05-05,86.6,Completed
"Austin, TX",Tire Rotation,Mobile Service,2026-05-05,69.7,Cancelled
"Seattle, WA",12V Battery Service,Mobile Service,2026-05-05,76.8,Completed
"Austin, TX",Alignment,Mobile Service,2026-05-05,74.5,Completed
"Austin, TX",Warranty Repair,Service Center,2026-05-05,70.4,Cancelled
"Denver, CO",Alignment,Service Center,2026-05-05,81.7,Cancelled
"Fremont, CA",Collision Repair,Mobile Service,2026-05-05,53.6,Cancelled
"Austin, TX",Warranty Repair,Mobile Service,2026-05-05,78.6,Cancelled
"Denver, CO",Alignment,Service Center,2026-05-05,74.8,Completed
"Fremont, CA",Tire Rotation,Mobile Service,2026-05-05,79.3,Completed
"Denver, CO",12V Battery Service,Service Center,2026-05-05,53.5,Cancelled
"Toronto, ON",Tire Rotation,Mobile Service,2026-05-05,97.7,Completed
"Austin, TX",Collision Repair,Service Center,2026-05-05,90.5,Completed
"Austin, TX",Cabin/HEPA Filter Replacement,Service Center,2026-05-05,88.5,Cancelled
"Fremont, CA",12V Battery Service,Service Center,2026-05-05,58.4,Completed
"Toronto, ON",Tire Rotation,Service Center,2026-05-05,81.0,Completed
"Denver, CO",Tire Rotation,Service Center,2026-05-05,62.2,Completed
"Chicago, IL",12V Battery Service,Mobile Service,2026-05-05,56.3,Completed
"Denver, CO",Warranty Repair,Mobile Service,2026-05-05,56.7,Completed
"Austin, TX",Tire Rotation,Service Center,2026-05-05,95.2,Completed
"Chicago, IL",Collision Repair,Mobile Service,2026-05-05,70.8,Completed
"Toronto, ON",Tire Rotation,Mobile Service,2026-05-05,89.8,Rescheduled
"Fremont, CA",Brake Fluid/Caliper Service,Service Center,2026-05-05,66.2,Cancelled
"Chicago, IL",Alignment,Mobile Service,2026-05-05,68.6,Cancelled
"Seattle, WA",Collision Repair,Service Center,2026-05-05,61.4,Completed
"Toronto, ON",Collision Repair,Service Center,2026-05-05,78.0,Completed
"Austin, TX",12V Battery Service,Service Center,2026-05-05,80.5,Completed
"Denver, CO",Warranty Repair,Mobile Service,2026-05-05,64.5,Cancelled
"Toronto, ON",Alignment,Mobile Service,2026-05-05,44.2,Completed
"Austin, TX",Brake Fluid/Caliper Service,Service Center,2026-05-05,60.7,Completed
"Chicago, IL",12V Battery Service,Mobile Service,2026-05-05,83.0,Cancelled
"Seattle, WA",Alignment,Mobile Service,2026-05-05,74.9,Completed
"Austin, TX",Collision Repair,Mobile Service,2026-05-05,76.7,Completed
"Toronto, ON",Alignment,Mobile Service,2026-05-05,33.7,Rescheduled
"Austin, TX",Alignment,Service Center,2026-05-05,78.6,Completed
"Denver, CO",Warranty Repair,Service Center,2026-05-05,62.1,Completed
"Austin, TX",Cabin/HEPA Filter Replacement,Mobile Service,2026-05-05,88.9,Cancelled
"Chicago, IL",Brake Fluid/Caliper Service,Service Center,2026-05-05,66.3,Completed
"Chicago, IL",Alignment,Service Center,2026-05-06,67.2,Completed
"Denver, CO",Warranty Repair,Service Center,2026-05-06,94.7,Completed
"Austin, TX",12V Battery Service,Service Center,2026-05-06,75.6,Rescheduled
"Denver, CO",Cabin/HEPA Filter Replacement,Collision Center,2026-05-06,69.1,Cancelled
"Fremont, CA",Cabin/HEPA Filter Replacement,Service Center,2026-05-06,91.6,Completed
"Seattle, WA",Collision Repair,Service Center,2026-05-06,77.3,Cancelled
"Fremont, CA",Brake Fluid/Caliper Service,Service Center,2026-05-06,83.8,Cancelled
"Denver, CO",Alignment,Service Center,2026-05-06,70.1,Cancelled
"Toronto, ON",Alignment,Mobile Service,2026-05-06,97.7,Cancelled
"Fremont, CA",Collision Repair,Service Center,2026-05-06,90.5,Completed
"Denver, CO",Alignment,Service Center,2026-05-06,65.1,Cancelled
"Chicago, IL",Brake Fluid/Caliper Service,Service Center,2026-05-06,75.7,Rescheduled
"Austin, TX",Tire Rotation,Mobile Service,2026-05-06,82.7,Completed
"Austin, TX",Tire Rotation,Mobile Service,2026-05-06,47.3,Completed
"Austin, TX",Collision Repair,Mobile Service,2026-05-06,36.7,Completed
"Seattle, WA",Cabin/HEPA Filter Replacement,Service Center,2026-05-06,76.6,Cancelled
"Austin, TX",12V Battery Service,Service Center,2026-05-06,100.0,Completed
"Fremont, CA",Warranty Repair,Mobile Service,2026-05-06,73.9,Completed
"Austin, TX",Cabin/HEPA Filter Replacement,Service Center,2026-05-06,85.4,Cancelled
"Chicago, IL",12V Battery Service,Collision Center,2026-05-06,87.3,Completed
"Fremont, CA",Tire Rotation,Service Center,2026-05-06,76.1,Cancelled
"Fremont, CA",Warranty Repair,Mobile Service,2026-05-06,67.6,Cancelled
"Seattle, WA",Brake Fluid/Caliper Service,Service Center,2026-05-06,95.5,Completed
"Denver, CO",Collision Repair,Service Center,2026-05-06,58.0,Completed
"Austin, TX",Brake Fluid/Caliper Service,Service Center,2026-05-06,82.7,Rescheduled
"Austin, TX",Tire Rotation,Mobile Service,2026-05-06,77.2,Rescheduled
"Seattle, WA",Brake Fluid/Caliper Service,Mobile Service,2026-05-06,69.4,Completed
"Chicago, IL",Brake Fluid/Caliper Service,Mobile Service,2026-05-06,65.4,Rescheduled
"Fremont, CA",Cabin/HEPA Filter Replacement,Mobile Service,2026-05-06,75.9,Completed
"Chicago, IL",Warranty Repair,Mobile Service,2026-05-06,69.2,Completed
"Fremont, CA",12V Battery Service,Mobile Service,2026-05-06,73.2,Cancelled
"Toronto, ON",Brake Fluid/Caliper Service,Mobile Service,2026-05-06,65.1,Cancelled
"Toronto, ON",12V Battery Service,Mobile Service,2026-05-06,77.2,Completed
"Fremont, CA",12V Battery Service,Service Center,2026-05-06,69.2,Completed
"Austin, TX",Brake Fluid/Caliper Service,Mobile Service,2026-05-06,47.4,Completed
"Fremont, CA",12V Battery Service,Collision Center,2026-05-06,68.2,Completed
"Toronto, ON",Tire Rotation,Service Center,2026-05-06,78.7,Cancelled
"Denver, CO",Tire Rotation,Mobile Service,2026-05-06,88.1,Cancelled
"Fremont, CA",Tire Rotation,Service Center,2026-05-06,87.2,Rescheduled
"Austin, TX",Alignment,Service Center,2026-05-06,99.5,Completed
"Fremont, CA",12V Battery Service,Service Center,2026-05-06,68.5,Completed
"Austin, TX",Brake Fluid/Caliper Service,Mobile Service,2026-05-06,88.0,Rescheduled
"Seattle, WA",Cabin/HEPA Filter Replacement,Service Center,2026-05-06,55.7,Cancelled
"Denver, CO",Cabin/HEPA Filter Replacement,Service Center,2026-05-06,72.1,Cancelled
"Denver, CO",12V Battery Service,Mobile Service,2026-05-06,92.7,Rescheduled
"Seattle, WA",Collision Repair,Service Center,2026-05-06,92.4,Rescheduled
"Toronto, ON",12V Battery Service,Mobile Service,2026-05-06,67.2,Completed
"Fremont, CA",Cabin/HEPA Filter Replacement,Service Center,2026-05-06,70.3,Completed
"Austin, TX",Brake Fluid/Caliper Service,Service Center,2026-05-06,51.2,Completed
"Seattle, WA",Tire Rotation,Service Center,2026-05-06,75.2,Rescheduled
"Denver, CO",Collision Repair,Service Center,2026-05-06,59.4,Cancelled
"Denver, CO",Cabin/HEPA Filter Replacement,Service Center,2026-05-07,77.7,Completed
"Denver, CO",Brake Fluid/Caliper Service,Mobile Service,2026-05-07,49.7,Cancelled
"Chicago, IL",Brake Fluid/Caliper Service,Service Center,2026-05-07,50.3,Completed
"Denver, CO",Warranty Repair,Service Center,2026-05-07,53.7,Rescheduled
"Seattle, WA",Warranty Repair,Service Center,2026-05-07,60.4,Completed
"Toronto, ON",Collision Repair,Service Center,2026-05-07,64.6,Completed
"Denver, CO",Alignment,Mobile Service,2026-05-07,93.5,Completed
"Fremont, CA",Alignment,Service Center,2026-05-07,88.2,Completed
"Fremont, CA",Collision Repair,Service Center,2026-05-07,73.8,Rescheduled
"Seattle, WA",Collision Repair,Mobile Service,2026-05-07,83.8,Completed
"Fremont, CA",Warranty Repair,Mobile Service,2026-05-07,92.1,Completed
"Austin, TX",Collision Repair,Service Center,2026-05-07,70.2,Completed
"Denver, CO",Collision Repair,Mobile Service,2026-05-07,66.2,Cancelled
"Fremont, CA",Cabin/HEPA Filter Replacement,Service Center,2026-05-07,85.8,Completed
"Seattle, WA",Warranty Repair,Service Center,2026-05-07,73.0,Completed
"Fremont, CA",Warranty Repair,Mobile Service,2026-05-07,96.7,Cancelled
"Seattle, WA",Cabin/HEPA Filter Replacement,Mobile Service,2026-05-07,78.1,Completed
"Denver, CO",Tire Rotation,Service Center,2026-05-07,100.0,Cancelled
"Toronto, ON",Brake Fluid/Caliper Service,Service Center,2026-05-07,100.0,Cancelled
"Fremont, CA",12V Battery Service,Mobile Service,2026-05-07,91.0,Completed
"Austin, TX",Brake Fluid/Caliper Service,Service Center,2026-05-07,80.4,Completed
"Denver, CO",Collision Repair,Collision Center,2026-05-07,89.8,Completed
"Toronto, ON",Brake Fluid/Caliper Service,Service Center,2026-05-07,56.9,Completed
"Seattle, WA",Collision Repair,Mobile Service,2026-05-07,74.7,Completed
"Seattle, WA",Warranty Repair,Service Center,2026-05-07,74.1,Completed
"Fremont, CA",Collision Repair,Service Center,2026-05-07,97.1,Completed
"Fremont, CA",Alignment,Service Center,2026-05-07,75.6,Completed
"Austin, TX",Brake Fluid/Caliper Service,Service Center,2026-05-07,52.8,Cancelled
"Denver, CO",Tire Rotation,Service Center,2026-05-07,91.5,Completed
"Fremont, CA",Brake Fluid/Caliper Service,Service Center,2026-05-07,62.4,Cancelled
"Chicago, IL",Alignment,Collision Center,2026-05-07,69.7,Rescheduled
"Austin, TX",Warranty Repair,Mobile Service,2026-05-07,92.7,Cancelled
"Toronto, ON",12V Battery Service,Mobile Service,2026-05-07,78.4,Completed
"Chicago, IL",Brake Fluid/Caliper Service,Service Center,2026-05-07,87.5,Completed
"Seattle, WA",Tire Rotation,Mobile Service,2026-05-07,66.9,Completed
"Austin, TX",Collision Repair,Mobile Service,2026-05-07,48.6,Completed
"Chicago, IL",Warranty Repair,Mobile Service,2026-05-07,98.3,Rescheduled
"Denver, CO",Tire Rotation,Service Center,2026-05-07,81.7,Completed
"Seattle, WA",Collision Repair,Mobile Service,2026-05-07,100.0,Completed
"Fremont, CA",Alignment,Service Center,2026-05-07,84.3,Completed
"Toronto, ON",Brake Fluid/Caliper Service,Service Center,2026-05-07,95.0,Completed
"Denver, CO",Cabin/HEPA Filter Replacement,Mobile Service,2026-05-07,49.2,Completed
"Seattle, WA",Alignment,Service Center,2026-05-07,68.9,Rescheduled
"Austin, TX",Warranty Repair,Service Center,2026-05-07,75.7,Cancelled
"Seattle, WA",Brake Fluid/Caliper Service,Service Center,2026-05-07,74.3,Completed
"Toronto, ON",Collision Repair,Mobile Service,2026-05-07,75.6,Completed
"Austin, TX",Cabin/HEPA Filter Replacement,Service Center,2026-05-07,55.9,Cancelled
"Austin, TX",Alignment,Mobile Service,2026-05-07,50.2,Completed
"Chicago, IL",Alignment,Mobile Service,2026-05-07,28.6,Completed
"Austin, TX",Warranty Repair,Service Center,2026-05-07,80.9,Rescheduled
"Seattle, WA",12V Battery Service,Service Center,2026-05-08,93.5,Cancelled
"Seattle, WA",12V Battery Service,Service Center,2026-05-08,83.0,Rescheduled
"Fremont, CA",Warranty Repair,Mobile Service,2026-05-08,81.5,Completed
"Seattle, WA",Collision Repair,Mobile Service,2026-05-08,87.7,Cancelled
"Austin, TX",Alignment,Service Center,2026-05-08,100.0,Completed
"Fremont, CA",Brake Fluid/Caliper Service,Mobile Service,2026-05-08,81.0,Completed
"Austin, TX",12V Battery Service,Mobile Service,2026-05-08,100.0,Cancelled
"Toronto, ON",Collision Repair,Mobile Service,2026-05-08,91.7,Completed
"Austin, TX",Brake Fluid/Caliper Service,Service Center,2026-05-08,83.2,Completed
"Fremont, CA",12V Battery Service,Service Center,2026-05-08,62.6,Completed
"Fremont, CA",Collision Repair,Service Center,2026-05-08,48.9,Completed
"Seattle, WA",Warranty Repair,Service Center,2026-05-08,76.7,Rescheduled
"Chicago, IL",Alignment,Mobile Service,2026-05-08,66.1,Completed
"Seattle, WA",Brake Fluid/Caliper Service,Service Center,2026-05-08,65.7,Cancelled
"Seattle, WA",Warranty Repair,Service Center,2026-05-08,69.6,Cancelled
"Seattle, WA",Warranty Repair,Service Center,2026-05-08,84.2,Completed
"Chicago, IL",Tire Rotation,Service Center,2026-05-08,78.4,Rescheduled
"Denver, CO",Brake Fluid/Caliper Service,Mobile Service,2026-05-08,82.8,Completed
"Chicago, IL",12V Battery Service,Service Center,2026-05-08,79.8,Cancelled
"Seattle, WA",Collision Repair,Service Center,2026-05-08,42.3,Completed
"Austin, TX",Brake Fluid/Caliper Service,Mobile Service,2026-05-08,82.4,Completed
"Chicago, IL",Tire Rotation,Service Center,2026-05-08,50.9,Completed
"Toronto, ON",Tire Rotation,Service Center,2026-05-08,73.8,Completed
"Austin, TX",Collision Repair,Service Center,2026-05-08,60.7,Completed
"Seattle, WA",Alignment,Service Center,2026-05-08,63.6,Rescheduled
"Denver, CO",Tire Rotation,Service Center,2026-05-08,42.2,Completed
"Chicago, IL",Collision Repair,Mobile Service,2026-05-08,67.7,Cancelled
"Denver, CO",Collision Repair,Mobile Service,2026-05-08,73.3,Completed
"Denver, CO",Alignment,Service Center,2026-05-08,86.4,Completed
"Denver, CO",Cabin/HEPA Filter Replacement,Collision Center,2026-05-08,67.9,Cancelled
"Toronto, ON",Brake Fluid/Caliper Service,Mobile Service,2026-05-08,69.0,Completed
"Denver, CO",Collision Repair,Service Center,2026-05-08,67.9,Completed
"Seattle, WA",Warranty Repair,Mobile Service,2026-05-08,70.2,Completed
"Denver, CO",Brake Fluid/Caliper Service,Service Center,2026-05-08,85.8,Completed
"Chicago, IL",Cabin/HEPA Filter Replacement,Mobile Service,2026-05-08,90.3,Cancelled
"Chicago, IL",Brake Fluid/Caliper Service,Mobile Service,2026-05-08,77.2,Completed
"Fremont, CA",Brake Fluid/Caliper Service,Service Center,2026-05-08,75.6,Completed
"Chicago, IL",Collision Repair,Mobile Service,2026-05-08,91.9,Cancelled
"Fremont, CA",Brake Fluid/Caliper Service,Mobile Service,2026-05-08,79.7,Completed
"Denver, CO",12V Battery Service,Mobile Service,2026-05-08,81.8,Cancelled
"Chicago, IL",Warranty Repair,Mobile Service,2026-05-08,57.4,Cancelled
"Austin, TX",Cabin/HEPA Filter Replacement,Mobile Service,2026-05-08,67.8,Completed
"Chicago, IL",Cabin/HEPA Filter Replacement,Service Center,2026-05-08,100.0,Cancelled
"Austin, TX",12V Battery Service,Service Center,2026-05-08,46.6,Cancelled
"Toronto, ON",12V Battery Service,Service Center,2026-05-08,95.3,Rescheduled
"Chicago, IL",Warranty Repair,Service Center,2026-05-08,71.1,Completed
"Toronto, ON",Collision Repair,Mobile Service,2026-05-08,67.3,Completed
"Denver, CO",Warranty Repair,Mobile Service,2026-05-08,70.6,Cancelled
